Formula,Metal,Insulator,MIT,Accuracy,Label,Stoichiometry,Crystal_structure,Average_MO_distance,Valence_electron,d_electron,Mass_density,Mean_electronegativity,Polarizability,Std_of_ionic_radius,Crystal_field_splitting,Electronic_corr
LaRuO3,31,21,37,0.596153846,1,27,37,26,26,40,1,8,8,4,31,33
LaFeO3,14,38,27,0.730769231,0,26,36,17,29,39,3,8,12,3,32,29
LaNiO3,35,17,36,0.673076923,1,27,35,24,30,40,2,9,13,9,31,33
CaFeO3,16,36,28,0.538461538,2,25,31,16,25,39,1,9,9,6,29,29
ReO3,31,21,16,0.596153846,1,23,33,13,24,36,2,11,11,3,22,21
MoO2,32,20,23,0.615384615,1,25,34,15,27,33,1,8,8,4,22,20
MoO3,12,40,16,0.769230769,0,27,26,15,30,36,4,7,9,4,16,15
Ag2BiO3,28,24,30,0.576923077,2,23,26,22,27,31,4,10,17,8,27,22
TiO,29,23,25,0.557692308,1,32,29,11,25,38,1,7,9,5,18,20
MnO,15,37,17,0.711538462,0,26,25,14,18,34,1,10,9,3,20,23
Ca2RuO4,31,21,35,0.673076923,2,23,33,15,24,37,1,9,9,3,28,29
NbO2,23,29,27,0.519230769,2,27,28,16,20,34,1,7,8,6,15,17
Sr2TiO4,11,41,21,0.788461538,0,28,24,8,23,35,2,8,14,3,20,15
Ti2O3,23,29,31,0.596153846,2,31,30,9,22,35,2,9,7,4,25,22
Cr2O3,9,43,19,0.826923077,0,23,29,16,20,37,1,8,7,2,22,19
KVO3,13,39,19,0.75,0,26,27,9,20,36,3,7,8,4,16,18
BaVS3,30,22,34,0.653846154,2,22,26,13,21,38,2,14,10,2,24,20
SrCrO3,25,27,29,0.480769231,1,27,35,15,20,35,2,8,8,4,25,28