Accuracy,Material_Science,Physics,Chemistry,Academic_degree,Experimental,Computational,Theoretical,Graduate,Postdoc,Faculty,Staff_Scientist,Industry
74,0,1,0,MS,1,0,0,1,0,0,0,0
48,1,0,0,BA/BS,0,1,0,1,0,0,0,0
52,1,0,0,BA/BS,1,0,0,1,0,0,0,0
65,1,0,0,PhD,1,0,0,0,0,0,1,0
65,1,1,0,PhD,1,0,0,0,1,0,0,0
52,1,0,0,BA/BS,1,0,0,1,0,0,0,0
45,0,1,0,PhD,1,0,0,0,0,1,0,0
74,1,1,0,PhD,0,1,1,0,0,1,0,0
61,0,1,0,PhD,1,0,0,0,0,1,0,0
61,1,0,0,PhD,1,0,0,0,0,1,0,0
61,1,0,0,PhD,1,0,0,0,0,1,0,0
55,1,1,0,PhD,1,0,0,0,0,1,0,0
48,1,1,0,PhD,1,0,0,0,1,1,0,0
77,1,1,1,PhD,1,0,0,0,0,1,0,0
48,0,1,0,PhD,1,0,0,0,0,1,0,0
48,0,1,0,MS,1,0,0,1,0,0,0,0
77,1,0,0,PhD,0,0,1,0,0,1,0,0
71,1,0,0,PhD,1,0,0,0,0,1,0,0
61,1,0,0,BA/BS,1,0,0,1,0,0,0,0
42,1,0,0,BA/BS,1,0,0,1,0,0,0,0
45,1,0,0,BA/BS,1,0,0,1,0,0,0,0
68,1,0,0,PhD,0,1,0,0,0,1,0,0
61,0,1,0,PhD,1,0,0,0,0,1,0,0
52,0,1,0,PhD,1,0,0,0,0,1,0,0
45,1,0,0,MS,1,0,0,1,0,0,0,0
52,1,1,0,PhD,1,0,0,0,0,1,0,0
77,1,1,0,PhD,1,0,0,0,0,1,0,0
58,1,0,0,BA/BS,1,0,0,1,0,0,0,0
84,1,0,0,BA/BS,1,0,0,1,0,0,0,0
74,1,0,0,PhD,1,0,0,0,0,1,0,0
74,1,1,0,PhD,1,0,0,0,0,0,1,0
48,1,0,0,PhD,1,0,0,0,0,1,0,0
55,0,0,1,BA/BS,1,1,0,1,0,0,0,0
55,1,0,0,MS,1,1,0,1,0,0,0,0
48,1,0,0,BA/BS,1,0,0,1,0,0,0,0
58,1,0,0,BA/BS,1,0,0,1,0,0,0,0
48,1,0,1,BA/BS,0,1,1,1,0,0,0,0
48,1,0,0,PhD,1,0,0,1,0,0,0,0
74,1,1,0,PhD,1,0,0,0,0,1,0,0
74,1,0,0,PhD,1,0,0,0,0,1,0,0
61,1,0,0,MS,0,1,0,1,0,0,0,0
68,1,0,0,PhD,0,1,0,0,1,0,0,0
48,1,0,0,PhD,0,1,0,0,1,0,0,0
65,1,1,0,BA/BS,0,1,0,1,0,0,0,0
74,1,1,0,PhD,0,1,0,0,1,0,0,0
65,1,0,0,BA/BS,0,1,1,1,0,0,0,0
68,1,0,0,BA/BS,0,1,1,1,0,0,0,0
68,1,1,0,BA/BS,0,1,0,1,0,0,0,0
55,1,0,0,MS,0,1,0,1,0,0,0,0
48,1,1,0,MS,0,1,1,1,0,0,0,0
45,1,0,0,PhD,0,1,0,0,0,1,0,0
90,1,0,0,PhD,1,0,0,0,0,1,0,0