respondent_id,accuracy,start_date,end_date,materials_science,chemistry,physics,highest_academic_degree_held,current_position,experimental,computational,theoretical
10991455189,0.2777777777777778,9/13/19 13:11,9/13/19 13:15,Materials Science,NA,NA,BA/BS,Graduate Student,NA,Computational,Theoretical
10280657682,0.9444444444444444,10/15/18 12:56,10/15/18 13:03,Materials Science,NA,NA,PhD,Faculty,Experimental,NA,NA
10172361981,0.6666666666666666,8/21/18 13:55,8/21/18 14:17,Materials Science,NA,Physics,PhD,Faculty,Experimental,NA,NA
10171054108,0.6111111111111112,8/20/18 22:32,8/20/18 22:50,Materials Science,NA,NA,PhD,Faculty,Experimental,NA,NA
10163866999,0.3333333333333333,8/16/18 2:35,8/16/18 2:41,Materials Science,NA,NA,MS,Graduate Student,NA,Computational,NA
10163067121,0.4444444444444444,8/15/18 15:08,8/15/18 15:36,Materials Science,NA,NA,PhD,Postdoc,NA,Computational,NA
10162575392,0.2222222222222222,8/15/18 10:47,8/15/18 11:46,Materials Science,NA,NA,PhD,Postdoc,NA,Computational,NA
10162477806,0.5555555555555556,8/15/18 10:00,8/15/18 10:08,Materials Science,NA,Physics,BA/BS,Graduate Student,NA,Computational,NA
10162468766,0.6111111111111112,8/15/18 9:54,8/15/18 12:16,Materials Science,NA,Physics,PhD,Postdoc,NA,Computational,NA
10162460355,0.5,8/15/18 9:52,8/15/18 10:01,Materials Science,NA,NA,BA/BS,Graduate Student,NA,Computational,Theoretical
10162438717,0.5555555555555556,8/15/18 9:41,8/15/18 9:48,Materials Science,NA,NA,BA/BS,Graduate Student,NA,Computational,Theoretical
10162436462,0.5555555555555556,8/15/18 9:39,8/15/18 10:15,Materials Science,NA,Physics,BA/BS,Graduate Student,NA,Computational,NA
10162436138,0.4444444444444444,8/15/18 9:39,8/15/18 9:54,Materials Science,NA,NA,MS,Graduate Student,NA,Computational,NA
10162426860,0.2777777777777778,8/15/18 9:35,8/15/18 9:42,Materials Science,NA,Physics,MS,Graduate Student,NA,Computational,Theoretical
10156726860,0.2777777777777778,8/11/18 18:08,8/11/18 18:18,Materials Science,NA,NA,PhD,Faculty,NA,Computational,NA
10151717191,0.3333333333333333,8/8/18 15:15,8/8/18 15:20,Materials Science,NA,NA,PhD,Graduate Student,Experimental,NA,NA
10148434153,0.5555555555555556,8/7/18 1:09,8/7/18 2:05,NA,NA,Physics,MS,Graduate Student,Experimental,NA,NA
10147064722,0.16666666666666666,8/6/18 9:34,8/6/18 9:41,Materials Science,NA,NA,BA/BS,Graduate Student,NA,Computational,NA
10147012975,0.2777777777777778,8/6/18 9:05,8/6/18 9:14,Materials Science,NA,NA,BA/BS,Graduate Student,Experimental,NA,NA
10146965457,0.5,8/6/18 8:39,8/6/18 9:07,Materials Science,NA,NA,PhD,Staff Scientist,Experimental,NA,NA
10146620187,0.3888888888888889,8/6/18 3:18,8/6/18 3:53,Materials Science,NA,Physics,PhD,Postdoc,Experimental,NA,NA
10146456033,0.3333333333333333,8/5/18 23:07,8/6/18 0:49,Materials Science,NA,NA,BA/BS,Graduate Student,Experimental,NA,NA
10146446686,0.2222222222222222,8/5/18 22:37,8/5/18 23:05,NA,NA,Physics,PhD,Faculty,Experimental,NA,NA
10146400077,0.5555555555555556,8/5/18 21:42,8/5/18 22:03,Materials Science,NA,Physics,PhD,Faculty,NA,Computational,Theoretical
10146299420,0.5,8/5/18 19:13,8/5/18 19:38,NA,NA,Physics,PhD,Faculty,Experimental,NA,NA
10146124346,0.5,8/5/18 14:00,8/5/18 14:10,Materials Science,NA,NA,PhD,Faculty,Experimental,NA,NA
10145951278,0.4444444444444444,8/5/18 8:59,8/5/18 9:24,Materials Science,NA,NA,PhD,Faculty,Experimental,NA,NA
10145803656,0.2777777777777778,8/5/18 3:23,8/5/18 3:58,Materials Science,NA,Physics,PhD,Faculty,Experimental,NA,NA
10145762578,0.2777777777777778,8/5/18 1:39,8/5/18 2:10,Materials Science,NA,Physics,PhD,Faculty,Experimental,NA,NA
10145735050,0.6666666666666666,8/5/18 0:26,8/5/18 0:36,Materials Science,Chemistry,Physics,PhD,Faculty,Experimental,NA,NA
10145625192,0.3888888888888889,8/4/18 20:05,8/4/18 20:16,NA,NA,Physics,PhD,Faculty,Experimental,NA,NA
10145593580,0.2777777777777778,8/4/18 18:58,8/4/18 19:19,NA,NA,Physics,MS,Graduate Student,Experimental,NA,NA
10145519735,0.7222222222222222,8/4/18 16:34,8/4/18 16:48,Materials Science,NA,NA,PhD,Faculty,NA,NA,Theoretical
10145517601,0.5555555555555556,8/4/18 16:35,8/4/18 16:42,Materials Science,NA,NA,PhD,Faculty,Experimental,NA,NA
10145480742,0.3888888888888889,8/4/18 15:27,8/4/18 15:38,Materials Science,NA,NA,BA/BS,Graduate Student,Experimental,NA,NA
10145454041,0.16666666666666666,8/4/18 14:40,8/4/18 14:51,Materials Science,NA,NA,BA/BS,Graduate Student,Experimental,NA,NA
10145375101,0.2222222222222222,8/4/18 12:33,8/4/18 12:42,Materials Science,NA,NA,BA/BS,Graduate Student,Experimental,NA,NA
10145280023,0.5,8/4/18 10:14,8/4/18 10:25,Materials Science,NA,NA,PhD,Faculty,NA,Computational,NA
10145244363,0.5,8/4/18 9:26,8/4/18 10:15,NA,NA,Physics,PhD,Faculty,Experimental,NA,NA
10145244165,0.3333333333333333,8/4/18 9:25,8/4/18 9:36,NA,NA,Physics,PhD,Faculty,Experimental,NA,NA
10145219709,0.2222222222222222,8/4/18 8:51,8/4/18 9:01,Materials Science,NA,NA,MS,Graduate Student,Experimental,NA,NA
10145219521,0.2777777777777778,8/4/18 8:48,8/4/18 9:06,Materials Science,NA,Physics,PhD,Faculty,Experimental,NA,NA
10145209132,0.5555555555555556,8/4/18 8:36,8/4/18 9:05,Materials Science,NA,Physics,PhD,Faculty,Experimental,NA,NA
10144105048,0.3888888888888889,8/3/18 10:47,8/3/18 10:51,Materials Science,NA,NA,BA/BS,Graduate Student,Experimental,NA,NA
10144033010,0.7222222222222222,8/3/18 10:08,8/3/18 10:58,Materials Science,NA,NA,BA/BS,Graduate Student,Experimental,NA,NA
10143192620,0.5,8/2/18 20:40,8/2/18 20:56,Materials Science,NA,NA,PhD,Faculty,Experimental,NA,NA
10142736028,0.5,8/2/18 15:07,8/2/18 15:14,Materials Science,NA,Physics,PhD,Staff Scientist,Experimental,NA,NA
10141408673,0.2777777777777778,8/1/18 23:32,8/1/18 23:52,Materials Science,NA,NA,PhD,Faculty,Experimental,NA,NA
10129949550,0.3333333333333333,7/25/18 17:17,7/25/18 17:21,NA,Chemistry,NA,BA/BS,Graduate Student,Experimental,Computational,NA
10105717725,0.3888888888888889,7/10/18 21:55,7/10/18 22:06,Materials Science,NA,NA,MS,Graduate Student,Experimental,Computational,NA
10105551544,0.2222222222222222,7/10/18 19:15,7/10/18 19:30,Materials Science,NA,NA,BA/BS,Graduate Student,Experimental,NA,NA
10105461244,0.3888888888888889,7/10/18 17:54,7/10/18 19:06,Materials Science,NA,NA,BA/BS,Graduate Student,Experimental,NA,NA
10105286993,0.2777777777777778,7/10/18 15:47,7/10/18 15:58,Materials Science,Chemistry,NA,BA/BS,Graduate Student,NA,Computational,Theoretical
